,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,17.8,60,0,5.69,AU,1644710528
1,Castro,-24.7911,-50.0119,17.73,69,32,2.87,BR,1644710260
2,Vanimo,-2.6741,141.3028,27.46,80,70,1.27,PG,1644710528
3,Makkah al Mukarramah,21.4267,39.8261,21.8,30,0,5.98,SA,1644710029
4,Constitución,-35.3333,-72.4167,16.01,82,1,3.13,CL,1644710456
5,Saint Paul Harbor,57.79,-152.4072,2.97,83,93,0.88,US,1644710529
6,Bredasdorp,-34.5322,20.0403,19.04,83,100,0.65,ZA,1644710529
7,Dikson,73.5069,80.5464,-20.02,87,100,11.61,RU,1644710529
8,Lebu,-37.6167,-73.65,15.2,86,52,4.06,CL,1644710530
9,Luang Prabang,19.8856,102.1347,18.09,98,77,0.39,LA,1644710530
10,Atar,20.5169,-13.0499,19.33,25,48,3.76,MR,1644710530
11,Rikitea,-23.1203,-134.9692,26.09,71,0,7.52,PF,1644710531
12,Nemuro,43.3236,145.575,-7.76,71,66,3.0,JP,1644710531
13,Huarmey,-10.0681,-78.1522,22.57,76,26,3.44,PE,1644710531
14,Broken Hill,-31.95,141.4333,29.65,25,28,8.36,AU,1644710532
15,Arrondissement de Saumur,47.3333,-0.25,0.19,87,26,3.38,FR,1644710532
16,Nizwá,22.9333,57.5333,17.42,38,0,0.84,OM,1644710532
17,Kholtoson,50.2981,103.3097,-27.61,100,100,0.83,RU,1644710533
18,Lüderitz,-26.6481,15.1594,22.97,66,4,3.86,NA,1644710533
19,St. George's,12.0564,-61.7485,24.98,77,87,7.43,GD,1644710533
20,Jamestown,42.097,-79.2353,-6.84,96,100,1.58,US,1644710363
21,Moba,33.2288,105.0179,-0.91,75,96,2.47,CN,1644710534
22,Fortuna,40.5982,-124.1573,16.21,78,0,4.63,US,1644710534
23,Warkworth,-36.4,174.6667,21.16,70,73,12.86,NZ,1644710534
24,Hobart,-42.8794,147.3294,22.63,50,75,7.72,AU,1644710246
25,San Cristobal,7.7669,-72.225,21.72,62,91,0.99,VE,1644710535
26,Mount Gambier,-37.8333,140.7667,27.25,25,87,3.71,AU,1644710535
27,Port Alfred,-33.5906,26.891,23.88,92,46,5.32,ZA,1644710535
28,Kumul,42.8,93.45,-3.74,58,60,2.52,CN,1644710536
29,Arrondissement de Bastia,42.6667,9.3333,7.54,79,0,2.06,FR,1644710536
30,Erzin,36.9559,36.2,5.4,70,68,0.88,TR,1644710536
31,Hermanus,-34.4187,19.2345,19.33,80,99,2.85,ZA,1644710537
32,Mar del Plata,-38.0023,-57.5575,17.66,74,40,5.14,AR,1644710400
33,Tuktoyaktuk,69.4541,-133.0374,-35.4,97,17,0.51,CA,1644710537
34,Barrow,71.2906,-156.7887,-34.99,98,0,4.63,US,1644710537
35,Akonolinga,3.7667,12.25,18.86,71,35,1.51,CM,1644710538
36,Jalu,29.0331,21.5482,12.07,46,0,2.15,LY,1644710273
37,Albany,42.6001,-73.9662,-0.19,67,53,0.89,US,1644710362
38,Ambilobe,-13.2,49.05,22.75,96,92,1.04,MG,1644710538
39,Mzimba,-11.9,33.6,15.48,97,88,0.28,MW,1644710538
40,Ribeira Grande,38.5167,-28.7,16.42,89,100,6.96,PT,1644710539
41,Carnarvon,-24.8667,113.6333,26.12,74,78,1.43,AU,1644710539
42,Ushuaia,-54.8,-68.3,5.76,68,8,1.08,AR,1644710539
43,Cape Town,-33.9258,18.4232,20.7,77,100,1.34,ZA,1644710402
44,Bluff,-46.6,168.3333,12.11,77,100,6.21,NZ,1644710469
45,Khatanga,71.9667,102.5,-27.61,86,74,1.29,RU,1644710540
46,Kapaa,22.0752,-159.319,25.7,67,17,2.24,US,1644710540
47,Kemin,42.7846,75.6892,-5.85,80,100,1.44,KG,1644710540
48,Souillac,-20.5167,57.5167,25.2,85,33,4.99,MU,1644710541
49,Nome,64.5011,-165.4064,-22.91,87,74,2.12,US,1644710541
50,Gombong,-7.6072,109.5142,26.17,88,100,0.94,ID,1644710541
51,Arraial do Cabo,-22.9661,-42.0278,24.01,84,22,2.72,BR,1644710542
52,Katsuura,35.1333,140.3,5.91,60,71,1.76,JP,1644710542
53,Zharkent,44.1628,80.0,-2.87,91,99,2.29,KZ,1644710542
54,Yellowknife,62.456,-114.3525,-23.78,85,86,4.02,CA,1644710543
55,Saravan,39.7196,45.6483,-7.64,56,5,3.0,AM,1644710543
56,Hithadhoo,-0.6,73.0833,27.32,70,100,5.2,MV,1644710543
57,Port Macquarie,-31.4333,152.9167,20.5,64,100,3.06,AU,1644710516
58,Ulladulla,-35.35,150.4667,22.47,51,20,2.05,AU,1644710544
59,Luorong,24.4058,109.6086,7.5,88,100,3.26,CN,1644710544
60,Chapais,49.7834,-74.8492,-30.58,98,92,1.63,CA,1644710544
61,Haines Junction,60.7522,-137.5108,0.04,90,24,2.74,CA,1644710545
62,Fairbanks,64.8378,-147.7164,-17.02,77,100,0.51,US,1644710511
63,Faanui,-16.4833,-151.75,27.17,74,83,5.23,PF,1644710545
64,Kushiro,42.975,144.3747,-3.53,95,99,3.41,JP,1644710545
65,Yelizovo,53.1873,158.3805,-13.92,66,75,2.0,RU,1644710546
66,Severo-Kuril'sk,50.6789,156.125,-4.28,74,56,2.75,RU,1644710546
67,Saint-Philippe,-21.3585,55.7679,23.66,83,23,4.48,RE,1644710546
68,Vaini,-21.2,-175.2,27.2,77,53,7.66,TO,1644710547
69,Clyde River,70.4692,-68.5914,-26.87,76,100,13.89,CA,1644710547
70,Khandyga,62.6667,135.6,-38.41,100,99,1.0,RU,1644710547
71,Puerto Ayora,-0.7393,-90.3518,24.75,90,72,0.45,EC,1644710548
72,Kautokeino,69.0125,23.0412,-26.87,100,33,1.07,NO,1644710548
73,Tasiilaq,65.6145,-37.6368,-12.91,66,100,2.2,GL,1644710548
74,Punta Arenas,-53.15,-70.9167,11.73,58,78,2.14,CL,1644710549
75,Saint-Augustin,51.226,-58.6502,0.46,98,100,5.59,CA,1644710323
76,Natal,-5.795,-35.2094,28.12,83,40,4.12,BR,1644710328
77,Urengoy,65.9667,78.3667,-23.32,93,6,5.73,RU,1644710549
78,Kati,12.7441,-8.0726,21.67,15,0,1.6,ML,1644710549
79,Georgiyevka,43.0369,74.7114,-3.98,93,0,2.0,KZ,1644710550
80,Yining,29.0361,114.5636,4.89,91,99,0.7,CN,1644710550
81,Valparaíso,-33.0393,-71.6273,19.71,73,15,2.68,CL,1644710453
82,Syedove,47.0768,38.156,1.11,71,100,8.08,UA,1644710550
83,Yerbogachën,61.2767,108.0108,-32.95,100,99,0.89,RU,1644710551
84,São Filipe,14.8961,-24.4956,25.26,48,97,8.74,CV,1644710551
85,Longyearbyen,78.2186,15.6401,-13.09,72,0,4.63,SJ,1644710551
86,Sambava,-14.2667,50.1667,23.15,91,49,2.82,MG,1644710552
87,Qingdao,36.0986,120.3719,4.3,72,100,2.53,CN,1644710552
88,Tilichiki,60.4667,166.1,-26.29,88,12,3.96,RU,1644710552
89,Palmares,-8.6833,-35.5917,23.98,89,24,2.05,BR,1644710553
90,Uttarkāshi,30.7333,78.45,7.17,31,0,3.33,IN,1644710553
91,Kabalo,-6.05,26.9167,20.7,97,84,1.39,CD,1644710553
92,Tuatapere,-46.1333,167.6833,12.12,70,100,3.77,NZ,1644710554
93,Lavrentiya,65.5833,-171.0,-23.65,91,11,3.21,RU,1644710554
94,Aklavik,68.2191,-135.0107,-32.67,95,98,3.19,CA,1644710554
95,Kavieng,-2.5744,150.7967,27.99,73,100,1.43,PG,1644710555
96,Inhambane,-23.865,35.3833,23.5,76,6,3.65,MZ,1644710394
97,Hong Kong,22.2855,114.1577,17.26,90,100,4.02,HK,1644710114
98,Pacific Grove,36.6177,-121.9166,22.44,44,0,2.06,US,1644710555
99,Thompson,55.7435,-97.8558,-26.73,94,10,1.45,CA,1644710445
100,Chiredzi,-21.05,31.6667,19.74,71,4,3.08,ZW,1644710556
101,Vostok,46.4856,135.8833,-15.08,93,100,1.16,RU,1644710556
102,Port Augusta,-32.5,137.7667,32.06,13,62,2.12,AU,1644710556
103,Nanortalik,60.1432,-45.2371,-1.03,95,100,5.19,GL,1644710556
104,Tateyama,34.9833,139.8667,6.15,68,81,1.81,JP,1644710557
105,Aasiaat,68.7098,-52.8699,-16.46,83,100,4.29,GL,1644710557
106,Cabo San Lucas,22.8909,-109.9124,24.85,49,5,1.58,MX,1644710557
107,Vicuña,-30.0319,-70.7081,23.76,55,5,1.76,CL,1644710558
108,Guerrero Negro,27.9769,-114.0611,23.9,29,100,3.61,MX,1644710558
109,Westerland,54.9079,8.3033,4.49,70,75,10.8,DE,1644710558
110,Atuona,-9.8,-139.0333,25.37,77,13,5.61,PF,1644710559
111,Lemont,41.6736,-88.0017,-8.9,69,93,3.69,US,1644710407
112,Muncar,-8.4333,114.3333,24.71,90,100,1.92,ID,1644710559
113,Sühbaatar,50.2314,106.2078,-31.34,100,99,0.5,MN,1644710559
114,Le Chambon-Feugerolles,45.3969,4.3259,3.16,75,0,4.12,FR,1644710560
115,Pochutla,15.7432,-96.4661,28.23,52,25,1.83,MX,1644710560
116,Mahébourg,-20.4081,57.7,25.14,85,44,5.82,MU,1644710491
117,Healdsburg,38.6105,-122.8692,24.85,45,0,2.57,US,1644710560
118,Butaritari,3.0707,172.7902,28.2,70,91,5.96,KI,1644710561
119,Vila Franca do Campo,37.7167,-25.4333,17.33,89,100,4.53,PT,1644710561
120,Truckee,39.328,-120.1833,13.62,33,0,3.09,US,1644710561
121,Vágur,61.4732,-6.8119,6.44,83,93,4.59,FO,1644710561
122,Gravdal,68.1214,13.5031,-0.41,90,95,9.12,NO,1644710562
123,Hilo,19.7297,-155.09,24.82,78,12,3.16,US,1644710562
124,La Rioja,42.25,-2.5,-0.12,85,91,2.72,ES,1644710562
125,Nikel,69.4128,30.222,-17.9,97,13,3.13,RU,1644710563
126,Qaanaaq,77.484,-69.3632,-28.47,48,0,3.92,GL,1644710563
127,Taoudenni,22.6783,-3.9836,17.13,22,0,4.83,ML,1644710563
128,Kaitangata,-46.2817,169.8464,12.74,79,100,4.55,NZ,1644710564
129,Wuhu,31.3366,118.3755,4.87,94,100,2.55,CN,1644710564
130,Borkenes,68.774,16.1739,-6.07,100,61,4.51,NO,1644710564
131,New Norfolk,-42.7826,147.0587,22.88,35,97,2.0,AU,1644710564
132,Ahipara,-35.1667,173.1667,21.62,68,70,8.74,NZ,1644710565
133,Nikolskoye,59.7035,30.7861,1.7,98,100,4.78,RU,1644710565
134,Lagoa,39.05,-27.9833,15.99,90,100,9.8,PT,1644710565
135,Kununurra,-15.7667,128.7333,28.99,84,43,1.03,AU,1644710566
136,George Town,5.4112,100.3354,24.8,84,20,2.57,MY,1644710302
137,Chui,-33.6971,-53.4616,19.86,95,94,3.82,UY,1644710566
138,Burnie,-41.0667,145.9167,18.96,73,99,6.13,AU,1644710566
139,Pangai,-19.8,-174.35,27.81,76,52,8.3,TO,1644710567
140,Aberdeen,57.1437,-2.0981,6.32,83,90,4.63,GB,1644710312
141,Borogontsy,62.6683,131.1683,-30.5,98,100,0.75,RU,1644710567
142,Waipawa,-41.4122,175.5153,9.96,95,100,11.62,NZ,1644710567
143,Klyuchi,52.2667,79.1667,-9.08,94,100,5.02,RU,1644710568
144,East London,-33.0153,27.9116,24.08,89,2,3.59,ZA,1644710434
145,Zhezkazgan,47.8043,67.7144,-3.37,94,100,7.0,KZ,1644710568
146,Codrington,-38.2667,141.9667,29.31,28,86,7.91,AU,1644710568
147,Cherskiy,68.75,161.3,-27.96,97,100,4.6,RU,1644710569
148,Bethel,41.3712,-73.414,7.1,57,0,4.63,US,1644710569
149,Ust'-Omchug,61.15,149.6333,-31.1,94,100,1.53,RU,1644710569
150,Westport,41.1415,-73.3579,8.92,50,98,2.24,US,1644710394
151,Hasaki,35.7333,140.8333,3.22,60,47,3.14,JP,1644710570
152,Nicoya,10.1483,-85.452,28.4,55,61,3.41,CR,1644710570
153,Necochea,-38.5473,-58.7368,14.46,65,1,1.4,AR,1644710570
154,Saint Anthony,45.0205,-93.218,-16.28,62,100,2.06,US,1644710571
155,George,-33.963,22.4617,19.75,94,100,1.54,ZA,1644710571
156,Kyzyl-Suu,42.3414,78.0056,-5.76,69,97,4.19,KG,1644710571
157,Guozhen,34.3659,107.359,2.15,78,6,0.81,CN,1644710571
158,Shahrud,36.4182,54.9763,1.79,63,0,1.81,IR,1644710350
159,Omīdīyeh,30.7597,49.705,12.71,71,45,1.86,IR,1644710572
160,Leh,34.1667,77.5833,-19.0,75,95,0.78,IN,1644710572
161,Itarema,-2.9248,-39.9167,26.08,82,92,4.35,BR,1644710573
162,São Félix do Xingu,-6.6447,-51.995,21.17,99,99,0.69,BR,1644710573
163,Vellmar,51.3581,9.4797,-0.34,86,76,2.56,DE,1644710573
164,Lensk,60.7253,114.9278,-34.28,100,70,0.85,RU,1644710573
165,Santa Isabel,-23.3156,-46.2214,21.48,97,47,1.48,BR,1644710574
166,Ancud,-41.8697,-73.8203,15.36,83,49,0.6,CL,1644710574
167,Zhigansk,66.7697,123.3711,-34.62,99,88,2.38,RU,1644710574
168,Avarua,-21.2078,-159.775,28.03,65,100,2.06,CK,1644710575
169,Mindelo,16.8901,-24.9804,21.94,74,100,7.46,CV,1644710504
170,Tevaitoa,-16.7833,-151.5,27.51,72,98,5.76,PF,1644710575
171,Anzio,41.4853,12.6179,9.12,81,73,0.79,IT,1644710575
172,Bubaque,11.2833,-15.8333,26.68,59,0,3.52,GW,1644710576
173,Port Elizabeth,-33.918,25.5701,21.16,94,75,10.29,ZA,1644710442
174,Payakumbuh,-0.2202,100.6308,20.98,97,91,0.17,ID,1644710576
175,Beringovskiy,63.05,179.3167,-28.54,92,9,3.18,RU,1644710576
176,San Patricio,28.017,-97.5169,10.4,54,96,10.42,US,1644710577
177,Ostrovnoy,68.0531,39.5131,-15.4,96,61,1.6,RU,1644710577
178,Staffanstorp,55.6428,13.2064,2.15,77,0,6.69,SE,1644710577
179,Ozinki,51.1786,49.6769,-5.93,94,100,3.19,RU,1644710578
180,Mossamedes,-15.1961,12.1522,23.7,80,84,1.17,AO,1644710578
181,‘Ewa Beach,21.3156,-158.0072,26.81,47,40,4.63,US,1644710578
182,Sabang,5.8933,95.3214,28.05,73,65,7.1,ID,1644710579
183,Bengkulu,-3.8004,102.2655,24.51,82,96,1.78,ID,1644710579
184,Monrovia,6.3005,-10.7969,25.98,89,6,3.24,LR,1644710546
185,College,64.8569,-147.8028,-19.49,73,75,0.0,US,1644710579
186,Erice,38.037,12.5865,5.33,73,68,1.2,IT,1644710580
187,Sri Aman,1.2376,111.4621,22.94,96,100,0.59,MY,1644710580
188,Colares,38.7992,-9.4469,11.41,72,8,6.71,PT,1644710580
189,Sattahip,12.6664,100.9007,25.55,88,20,2.06,TH,1644710581
190,Edd,13.9297,41.6925,24.7,77,59,0.9,ER,1644710581
191,Koróni,36.8,21.95,8.84,69,100,0.55,GR,1644710581
192,Hayden,47.766,-116.7866,4.78,48,0,2.06,US,1644710581
193,Mataura,-46.1927,168.8643,11.93,95,100,1.96,NZ,1644710582
194,Bilibino,68.0546,166.4372,-30.47,97,100,0.62,RU,1644710582
195,Fukuechō,32.6881,128.8419,11.07,83,100,7.23,JP,1644710582
196,Vardø,70.3705,31.1107,-2.88,65,14,7.64,NO,1644710583
197,Kloulklubed,7.0419,134.2556,28.28,77,81,8.72,PW,1644710583
198,Kulhudhuffushi,6.6221,73.07,27.31,72,97,3.46,MV,1644710583
199,Butterworth,5.3991,100.3638,26.1,78,20,2.57,MY,1644710584
200,Chabahar,25.2919,60.643,20.91,68,0,3.61,IR,1644710584
201,Chul'man,56.8479,124.9104,-39.89,100,96,0.15,RU,1644710584
202,Manavālakurichi,8.1333,77.3,26.05,77,100,3.31,IN,1644710585
203,Tiksi,71.6872,128.8694,-22.49,90,90,6.63,RU,1644710585
204,Arieşeni,46.4833,22.7667,-9.83,88,5,2.4,RO,1644710585
205,Olinda,-8.0089,-34.8553,27.06,77,75,4.81,BR,1644710539
206,Kruisfontein,-34.0033,24.7314,21.42,94,99,4.01,ZA,1644710586
207,Iquique,-20.2208,-70.1431,21.02,76,7,2.29,CL,1644710038
208,Urtenen,47.0267,7.5008,-1.34,82,0,2.06,CH,1644710586
209,Vad,55.5301,44.2114,-11.95,98,61,3.55,RU,1644710586
210,Kieta,-6.2167,155.6333,29.6,64,84,1.59,PG,1644710587
211,Saint George,37.1041,-113.5841,18.44,11,0,0.0,US,1644710587
212,Provideniya,64.3833,-173.3,-20.57,86,12,1.8,RU,1644710587
213,Rocha,-34.4833,-54.3333,18.52,92,100,6.27,UY,1644710588
214,Mountain Home,43.133,-115.6912,3.83,100,0,3.09,US,1644710525
215,Upernavik,72.7868,-56.1549,-12.28,88,100,12.1,GL,1644710588
216,Adrar,20.5022,-10.0711,16.74,26,72,4.96,MR,1644710588
217,Les Cayes,18.2,-73.75,25.02,74,18,3.31,HT,1644710589
218,Palmer,42.1584,-72.3287,4.52,57,40,4.12,US,1644710589
219,Kevsala,45.7983,42.6903,1.83,91,100,8.84,RU,1644710589
220,Arlit,18.7369,7.3853,18.74,15,0,3.55,NE,1644710590
221,Ilulissat,69.2167,-51.1,-10.99,85,100,5.66,GL,1644710590
222,Buraidah,26.326,43.975,9.07,44,0,3.95,SA,1644710590
223,Kenderes,47.25,20.6833,-3.99,67,1,2.86,HU,1644710591
224,Esperance,-33.8667,121.9,18.02,59,94,3.73,AU,1644710591
225,Boende,-0.2167,20.8667,22.15,87,98,1.32,CD,1644710591
226,Tupiza,-21.45,-65.7167,13.26,72,93,3.82,BO,1644710591
227,Stokmarknes,68.5646,14.9108,-0.28,94,75,3.5,NO,1644710592
228,Pevek,69.7008,170.3133,-28.95,97,100,3.91,RU,1644710592
229,Oyama,36.3,139.8,3.89,46,20,2.2,JP,1644710592
230,Morondava,-20.2833,44.2833,26.31,86,49,2.14,MG,1644710593
231,Lagos,6.5833,3.75,25.29,91,36,1.45,NG,1644710442
232,Ponta do Sol,32.6667,-17.1,16.68,71,27,2.06,PT,1644710593
233,Hofn,64.2539,-15.2082,-4.85,68,97,7.83,IS,1644710593
234,Bundaberg,-24.85,152.35,28.45,58,46,1.79,AU,1644710488
235,Saldanha,-33.0117,17.9442,18.49,91,79,6.94,ZA,1644710594
236,Taltal,-25.4,-70.4833,20.13,80,21,2.68,CL,1644710594
237,Trofors,65.5333,13.4063,1.47,94,100,1.98,NO,1644710594
238,Iqaluit,63.7506,-68.5145,-34.88,97,100,1.7,CA,1644710595
239,Torbay,47.6666,-52.7314,6.83,82,95,2.68,CA,1644710447
240,Djambala,-2.5447,14.7533,21.69,85,99,1.65,CG,1644710595
241,Mount Isa,-20.7333,139.5,30.87,58,40,3.6,AU,1644710595
242,Forsytheganj,52.6333,29.7333,-2.95,83,44,4.0,BY,1644710505
243,Nabire,-3.3667,135.4833,25.64,90,98,0.65,ID,1644710596
244,Sítio Novo do Tocantins,-5.5183,-47.4611,22.91,94,89,1.14,BR,1644710596
245,Churapcha,62.0025,132.4325,-29.83,99,100,0.98,RU,1644710596
246,Laas,46.6166,10.7002,-3.36,41,25,0.63,IT,1644710597
247,Geraldton,-28.7667,114.6,20.23,77,1,4.12,AU,1644710597
248,Takoradze,4.8845,-1.7554,25.82,87,68,2.76,GH,1644710597
249,Saskylakh,71.9167,114.0833,-20.91,76,63,3.9,RU,1644710598
250,Polunochnoye,60.8697,60.4153,-21.62,100,99,1.06,RU,1644710598
251,Mezen',65.8522,44.24,-13.92,96,93,3.06,RU,1644710598
252,Cayenne,4.9333,-52.3333,25.05,88,0,0.89,GF,1644710598
253,Touros,-5.1989,-35.4608,26.45,79,34,4.07,BR,1644710491
254,Aswān,24.0934,32.907,13.22,50,0,4.16,EG,1644710599
255,Tiznit Province,29.5833,-9.5,13.9,49,22,1.57,MA,1644710599
256,Izhma,65.0083,53.9113,-12.28,95,99,3.2,RU,1644710599
257,Talnakh,69.4865,88.3972,-22.81,77,21,4.21,RU,1644710600
258,Ranong,9.9658,98.6348,24.07,90,58,1.9,TH,1644710555
259,Sørland,67.667,12.6934,0.58,86,100,5.57,NO,1644710600
260,Kuli,42.0185,47.2434,-1.53,39,11,2.47,RU,1644710600
261,Saint-Pierre,-21.3393,55.4781,23.77,83,0,2.06,RE,1644710601
262,Qaqortoq,60.7167,-46.0333,-0.72,94,100,7.61,GL,1644710601
263,Bambous Virieux,-20.3428,57.7575,25.12,86,36,5.87,MU,1644710601
264,Sechura,-5.5569,-80.8222,24.59,66,100,5.72,PE,1644710602
265,Ugoofaaru,5.6667,73.0,27.49,71,100,3.25,MV,1644710602
266,Tabory,58.5198,64.5495,-24.12,100,93,1.46,RU,1644710602
267,Hirson,49.9226,4.0826,0.82,82,68,4.61,FR,1644710603
268,Riyadh,24.6877,46.7219,10.45,40,0,4.79,SA,1644710401
269,Manokwari,-0.8667,134.0833,26.7,73,99,0.52,ID,1644710603
270,Bathsheba,13.2167,-59.5167,25.34,69,75,7.2,BB,1644710603
271,Mwense,-10.3845,28.698,18.81,98,100,0.13,ZM,1644710604
272,Pilar,-9.5972,-35.9567,25.2,80,4,3.91,BR,1644710604
273,Cabinda,-5.55,12.2,25.5,91,36,1.9,AO,1644710604
274,La Ronge,55.1001,-105.2842,-25.99,100,38,1.93,CA,1644710588
275,Husavik,66.0449,-17.3389,-10.79,87,88,4.02,IS,1644710605
276,Acapulco de Juárez,16.8634,-99.8901,27.9,61,75,2.57,MX,1644710605
277,Klaksvík,62.2266,-6.589,4.51,96,94,10.31,FO,1644710605
278,Zhalantun,48.0,122.7167,-20.67,81,86,2.6,CN,1644710606
279,Kumaliskis,10.5487,123.2197,22.79,83,98,2.21,PH,1644710606
280,Ciudad Sabinas Hidalgo,26.5,-100.1667,16.24,40,11,6.51,MX,1644710606
281,Pisco,-13.7,-76.2167,21.03,78,0,7.72,PE,1644710607
282,Pacifica,37.6138,-122.4869,22.83,50,20,2.06,US,1644710607
283,Angoram,-4.0625,144.0661,27.09,89,68,0.87,PG,1644710508
284,Pangnirtung,66.1451,-65.7125,-28.66,99,100,2.74,CA,1644710607
285,Gamba,-2.65,10.0,25.17,90,95,1.66,GA,1644710608
286,Muaná,-1.5283,-49.2167,24.77,89,70,2.83,BR,1644710608
287,Norman Wells,65.282,-126.8329,-21.65,94,99,1.64,CA,1644710608
288,Balaipungut,1.05,101.2833,23.23,96,100,0.39,ID,1644710608
289,Shingū,33.7333,135.9833,7.17,57,94,1.84,JP,1644710609
